Profile Text,Link,Name,Designation,Department
"I am Rahul Kumar Sharma working as an Assistant Professor in Department of Information Technology, NIET, Greater Noida, India. I earned my B.Tech (IT) from HBSACET Mathura and M.Tech (CSE) degree from MMMTU, Gorakhpur. I have 8 years of Teaching Experience. My area of research is Cloud Computing. My subject areas are Cloud and IoT.",https://www.niet.co.in/faculty/rahul-kumar-sharma,Mr. Rahul Kumar Sharma,Assistant Professor,Computer Science & Engineering
Ms. Neelam is working as an Assistant Professor in the department of Artificial Intelligence and Machine Learning at NIET from last 2 and a half years. She has completed her masters from Niet Greater Noidain Computer Science and Engineering. She has qualified 2 times ugc net exam.,https://www.niet.co.in/faculty/neelam,Ms. Neelam,Assistant Professor,Not Defined
Not Defined,https://www.niet.co.in/faculty/dinesh-sharma,Mr. Dinesh Sharma,Humanities & Applied Sciences,Humanities & Applied Sciences
Deepak Sharma is an academician with an experience of 8 years in the field of education. His area of research specialisation is Cybersecurity in Networks. He has published 2 papers in IJARI journals and presented in 1 conferences also. He worked in Shri Venkateshwara University Gajraula UP. and MIT Engineering college Bulandshahr UP.,https://www.niet.co.in/faculty/deepak-sharma,Mr. Deepak Sharma,Assistant Professor,Cyber Security
"Ms. Harshika Yadav completed M.B.A in Human Resource and Marketing from Prestige Institute of Management, Gwalior and is UGC-NET and JRF  qualified in Labour Welfare/Industrial Relations/Human resourse Management, currently holding over 1 year of experience, teaching subjects related to management and allied topics.
As a certied soft skills trainer she has been imparting training to students across courses on Personality Development and related aspects, required for students professional excellence.",https://www.niet.co.in/faculty/harshika-yadav,Ms. Harshika Yadav,Assistant Professor,Master of Business Administration (MBA)
"Education

Ph.D.",https://www.niet.co.in/faculty/brijesh-chand-sharma,Dr. Brijesh Chand Sharma,Professor,Mechanical Engineering
"Education

M.Tech",https://www.niet.co.in/faculty/swastik-soni,Mr. Swastik Soni,Assistant Professor,Mechanical Engineering
"Ms Namrata singh is having around 9 yrs of experience in academics as an Asst Professor in the field of HR and Marketing.

Ms Singh did PGDM From IME College in 2012 in HR and Marketing and her Masters in Management from AKTU in 2019 in marketing and finance.

She is now pursuing her PhD on the topic of BNPL services from Jaipur.

Her expertise area is Business communication and consumer behaviour.",https://www.niet.co.in/faculty/namrata-singh,Ms. Namrata Singh,Assistant Professor,Master of Business Administration (MBA)
"Vivek Ranjan is working as an Assistant Professor in department of Computer Science at Noida Institute of Engineering and Technology, Greater Noida, India.

He is Currently pursuing Ph.D. in Artificial Intelligence and Neural Network from Madan Mohan Malaviya University of Technology, Gorakhpur. He completed M.Tech in IT from MMMEC, Gorakhpur. He has a total of 6.5 years’ experience in the field of professional teaching and learning. His interested area of research includes Artificial Intelligence, Neural Networks and Cloud Computing.",https://www.niet.co.in/faculty/vivek-ranjan,Mr. Vivek Ranjan,Assistant Professor,Computer Science
"I am Rajeev Kumar, currently working as Assistant Professor in IT Department at NIET, Greater Noida, I have completed my M.Tech in CSE from Gautam Buddh Technical University, Lucknow and Pursuing Ph.D. in CSE from Dr APJ Abdul Kalam Technical University, Lucknow.

I have total experience of more than 20 years. My expertise includes Artificial Intelligence, Bio Inspired Robotics and Cloud Computing. I have published one patent, two SCI indexed papers, Two Scopus indexed papers and few other research papers and conferences of repute.",https://www.niet.co.in/faculty/rajeev-kumar,Mr. Rajeev Kumar,Assistant Professor,Information Technology
"MBA in Marketing and Finance from Kanya Gurukula Mahavidyalaya, Dehradun, qualified UGC-NET (Management) and PhD from Chaudhary Charan University, Meerut. She has 16 years of teaching and corporate.",https://www.niet.co.in/faculty/pooja-tyagi,Dr. Pooja Tyagi,Assistant Professor,Master of Business Administration (MBA)
"Lakshmi Kumari is an accomplished Assistant Professor of English in the Department of Languages at NIET, Greater Noida. She holds a Master’s degree in English from Banaras Hindu University (BHU) and is GATE-qualified with an impressive All India Rank (AIR) of 93.

With 2.6 years of professional experience in the corporate sector, she brings a unique blend of academic and practical insights to her teaching. Her areas of expertise include Literary Theory, British Literature, and Business Communication, making her a valuable resource for students seeking a comprehensive understanding of both traditional and contemporary aspects of English studies.",https://www.niet.co.in/faculty/lakshmi-kumari,Ms. Lakshmi Kumari,Assistant Professor,Humanities & Applied Sciences
"Mr. Somit Pratap singh is an Asst. Professor in Mechanical Engineering Dept. NIET Greater Noida. He has 6 year of teaching experience. He did his M.Tech from GBU, Greater Noida. His areas of interest include Thernal Engineering",https://www.niet.co.in/faculty/somit-pratap-singh,Mr. Somit Pratap singh,Assistant Professor,Mechanical Engineering
